satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Female,Loyal Customer,44,Personal Travel,Eco,365,0,1,0,4,3,4,3,5,5,0,5,4,5,3,0,0
satisfied,Female,Loyal Customer,52,Personal Travel,Eco,351,0,1,0,4,4,3,4,5,5,0,5,3,5,4,0,0
satisfied,Female,Loyal Customer,9,Personal Travel,Eco,2175,0,1,0,4,5,0,4,5,4,2,3,2,4,5,0,3
satisfied,Male,Loyal Customer,69,Personal Travel,Eco,1428,0,1,0,4,4,0,4,4,4,4,3,2,3,4,0,0
satisfied,Male,Loyal Customer,51,Personal Travel,Eco,986,0,1,0,4,5,0,5,5,1,5,3,1,3,5,2,12
satisfied,Male,Loyal Customer,9,Personal Travel,Eco,1628,0,1,0,4,3,0,4,3,3,2,3,1,4,3,0,0
satisfied,Male,Loyal Customer,40,Personal Travel,Eco,4161,0,1,1,1,1,4,4,4,4,1,2,4,3,4,0,0
satisfied,Female,Loyal Customer,33,Personal Travel,Eco,3505,0,1,1,2,2,1,2,2,3,5,3,4,2,2,0,0
satisfied,Female,Loyal Customer,18,Personal Travel,Eco,1948,0,1,1,3,2,1,2,2,3,2,2,1,2,2,15,10
satisfied,Female,Loyal Customer,23,Personal Travel,Eco Plus,1546,0,2,0,1,5,0,5,5,3,3,5,5,5,5,0,2
satisfied,Male,Loyal Customer,49,Personal Travel,Eco Plus,2044,0,2,0,2,2,0,2,2,2,4,3,4,3,2,0,0
satisfied,Male,Loyal Customer,39,Personal Travel,Eco Plus,2554,0,2,0,2,5,2,5,5,1,1,3,3,2,5,0,0
satisfied,Male,Loyal Customer,37,Personal Travel,Eco,2387,0,2,0,2,1,0,1,1,3,3,2,3,2,1,0,0
satisfied,Female,Loyal Customer,12,Personal Travel,Eco,2152,0,2,0,2,2,0,2,2,2,5,1,4,1,2,0,0
satisfied,Male,Loyal Customer,64,Personal Travel,Eco,2141,0,2,0,2,4,0,2,4,2,2,3,2,2,4,6,1
satisfied,Male,Loyal Customer,46,Personal Travel,Eco Plus,1068,0,2,0,2,4,0,4,4,2,5,3,2,2,4,0,0
satisfied,Male,Loyal Customer,38,Personal Travel,Eco,1913,0,2,0,2,2,0,2,2,4,5,3,3,2,2,0,6
satisfied,Female,Loyal Customer,38,Personal Travel,Eco,897,0,2,0,2,2,0,3,2,1,1,1,2,3,2,6,0
satisfied,Female,Loyal Customer,25,Personal Travel,Eco,3248,0,2,0,3,2,0,2,2,4,3,3,1,4,2,0,0
satisfied,Female,Loyal Customer,13,Personal Travel,Eco Plus,3842,0,2,0,3,3,0,2,3,1,2,1,1,2,3,0,0
satisfied,Male,Loyal Customer,20,Personal Travel,Eco,3865,0,2,0,3,0,5,5,2,5,3,3,5,2,5,0,0
satisfied,Female,Loyal Customer,64,Personal Travel,Eco,2441,0,2,0,3,0,3,3,1,2,4,4,3,2,3,0,0
satisfied,Male,Loyal Customer,41,Personal Travel,Eco,3332,0,2,0,3,4,0,4,4,3,5,3,1,3,4,0,0
satisfied,Male,Loyal Customer,10,Personal Travel,Business,3432,0,2,0,3,4,0,4,4,1,4,3,1,4,4,1,0
satisfied,Female,Loyal Customer,21,Personal Travel,Eco Plus,3799,0,2,0,3,5,2,5,5,3,1,3,2,4,5,27,8
satisfied,Male,Loyal Customer,54,Personal Travel,Eco,3504,0,2,0,3,4,0,4,4,1,5,3,4,4,4,0,0
satisfied,Female,Loyal Customer,46,Personal Travel,Eco Plus,1620,0,2,0,3,3,3,3,4,4,0,4,4,4,1,5,0
satisfied,Female,Loyal Customer,27,Personal Travel,Eco,3024,0,2,0,3,1,0,1,1,1,1,2,3,3,1,0,0
satisfied,Male,Loyal Customer,67,Personal Travel,Eco,2532,0,2,0,3,2,0,2,2,4,3,3,3,4,2,0,0
satisfied,Male,Loyal Customer,58,Personal Travel,Eco,2759,0,2,0,3,2,0,2,2,1,3,2,3,3,2,10,0
satisfied,Female,Loyal Customer,9,Personal Travel,Eco,2734,0,2,0,3,3,0,3,3,1,1,2,3,3,3,0,0
satisfied,Male,Loyal Customer,45,Personal Travel,Business,1237,0,2,0,3,4,3,3,1,1,0,1,4,1,1,20,15
satisfied,Male,Loyal Customer,57,Personal Travel,Business,1165,0,2,0,3,5,4,4,2,2,0,3,2,2,3,0,0
satisfied,Female,Loyal Customer,63,Personal Travel,Eco,1109,0,2,0,3,3,3,3,4,4,0,4,1,4,1,0,0
satisfied,Female,Loyal Customer,16,Personal Travel,Eco,2157,0,2,0,3,3,0,3,3,1,3,3,4,2,3,0,0
satisfied,Male,Loyal Customer,10,Personal Travel,Eco,1863,0,2,0,3,4,0,4,4,1,3,4,2,3,4,0,0
satisfied,Male,Loyal Customer,17,Personal Travel,Eco,2410,0,2,0,3,1,0,1,1,4,5,3,1,4,1,0,0
satisfied,Female,Loyal Customer,33,,Eco Plus,2359,0,2,0,3,3,0,4,3,2,1,4,4,4,3,0,0
satisfied,Male,Loyal Customer,70,Personal Travel,Eco,1686,0,2,0,3,1,0,1,1,3,1,2,3,2,1,0,0
,Female,Loyal Customer,45,Personal Travel,Eco,673,0,2,0,3,1,2,3,3,3,0,3,1,3,2,3,1
satisfied,Female,Loyal Customer,32,Personal Travel,Eco,1657,0,2,0,3,2,0,2,2,2,2,4,4,4,2,0,3
satisfied,Male,Loyal Customer,65,Personal Travel,Business,651,0,2,0,3,3,4,4,3,3,0,3,1,3,2,0,0
satisfied,Female,Loyal Customer,65,Personal Travel,Eco,614,0,2,0,3,4,5,5,2,2,0,2,4,2,3,90,80
satisfied,Female,Loyal Customer,20,Personal Travel,Eco,1894,0,2,0,3,1,2,1,1,2,3,4,1,4,1,0,3
satisfied,Male,Loyal Customer,17,Personal Travel,Eco Plus,1911,0,2,0,3,5,0,5,5,2,5,2,1,2,5,0,0
satisfied,Female,Loyal Customer,30,Personal Travel,Eco,1647,0,2,0,3,3,0,3,3,3,1,4,3,4,3,3,0
satisfied,Male,Loyal Customer,24,Personal Travel,Eco,1856,0,2,0,3,5,0,3,5,2,5,4,2,3,5,1,0
satisfied,Female,Loyal Customer,39,Personal Travel,Eco,1642,0,2,0,3,5,0,5,5,3,3,4,3,3,5,0,0
satisfied,Female,Loyal Customer,33,Personal Travel,Eco,1949,0,2,0,3,5,0,2,5,3,2,4,3,3,5,0,0
satisfied,Female,Loyal Customer,64,Personal Travel,Eco,419,0,2,0,3,3,4,3,1,1,0,1,3,1,1,0,0
satisfied,Female,Loyal Customer,37,Personal Travel,Eco,1571,0,2,0,3,3,0,3,3,3,5,4,4,4,3,0,0
satisfied,Male,Loyal Customer,61,Personal Travel,Eco,1119,0,2,0,3,3,0,3,3,2,1,4,3,4,3,2,0
satisfied,Male,Loyal Customer,60,Personal Travel,Eco,1190,0,2,0,3,1,0,1,1,1,5,3,2,3,1,0,0
satisfied,Female,Loyal Customer,28,Personal Travel,Eco,1844,0,2,0,3,4,0,4,4,2,5,4,3,3,4,1,0
satisfied,Male,Loyal Customer,26,Personal Travel,Eco,959,0,2,0,3,3,0,3,3,3,4,3,2,4,3,0,0
satisfied,Female,Loyal Customer,41,Personal Travel,Eco,2109,0,2,0,3,5,0,5,5,2,5,4,1,4,5,0,0
satisfied,Female,Loyal Customer,57,Personal Travel,Eco,317,0,2,0,3,5,2,3,1,1,0,1,4,1,4,0,0
satisfied,Male,Loyal Customer,47,Personal Travel,Eco,1977,0,2,0,3,2,0,2,2,2,2,2,4,2,2,0,0
satisfied,Female,Loyal Customer,61,Personal Travel,Eco,291,0,2,0,3,1,3,4,2,2,0,2,1,2,1,0,2
satisfied,Female,Loyal Customer,29,Personal Travel,Eco,1820,0,2,0,3,1,0,1,1,2,1,3,1,3,1,0,0
satisfied,Male,Loyal Customer,67,Personal Travel,Eco,1721,0,2,0,3,5,0,5,5,4,1,3,3,4,5,9,0
satisfied,Female,Loyal Customer,21,Personal Travel,Eco,4804,0,2,0,4,5,0,5,5,4,1,4,2,3,5,20,
satisfied,Male,Loyal Customer,26,Personal Travel,Eco,3466,0,2,0,4,2,0,2,2,3,1,3,2,4,2,0,0
satisfied,Male,Loyal Customer,30,Personal Travel,Eco,2825,0,2,0,4,1,0,1,1,4,1,2,2,3,1,0,0
satisfied,Male,Loyal Customer,36,Personal Travel,Eco,2561,0,2,0,4,2,0,2,2,2,2,2,4,4,2,0,0
satisfied,Male,Loyal Customer,49,Personal Travel,Eco,2762,0,2,0,4,2,0,4,2,4,1,4,3,4,2,0,15
satisfied,Female,Loyal Customer,49,Personal Travel,Eco,1184,0,2,0,4,1,2,4,3,3,2,3,2,3,2,12,0
satisfied,Female,Loyal Customer,48,Personal Travel,Eco,1066,0,2,0,4,5,4,4,2,2,0,2,3,2,1,14,7
satisfied,Female,Loyal Customer,17,Personal Travel,Eco,1740,0,2,0,4,3,0,3,3,4,3,3,2,4,3,0,0
satisfied,Female,Loyal Customer,10,Personal Travel,Eco,1970,0,2,0,4,3,0,3,3,1,3,4,4,3,3,0,0
satisfied,Female,Loyal Customer,55,Personal Travel,Eco,994,0,2,0,4,2,4,3,3,3,0,3,1,3,3,68,80
satisfied,Male,Loyal Customer,48,Personal Travel,Eco Plus,2391,0,2,0,4,1,0,1,1,3,1,3,3,4,1,0,0
satisfied,Male,Loyal Customer,58,Personal Travel,Eco,2032,0,2,0,4,4,0,4,4,3,5,2,2,4,4,0,0
satisfied,Female,Loyal Customer,50,Personal Travel,Eco,726,0,2,0,4,3,3,4,5,5,0,5,2,5,2,0,1
satisfied,Male,Loyal Customer,31,Personal Travel,Eco,2206,0,2,0,4,4,0,4,4,1,1,2,4,3,4,0,0
satisfied,Female,Loyal Customer,25,Personal Travel,Eco,2268,0,2,0,4,2,2,2,2,4,3,3,2,4,2,0,3
satisfied,Male,Loyal Customer,29,Personal Travel,Eco,1743,0,2,0,4,5,0,5,5,3,2,4,4,4,5,0,0
satisfied,Female,Loyal Customer,68,Personal Travel,Business,503,0,2,0,4,5,3,3,4,4,0,4,1,4,2,0,0
satisfied,Female,Loyal Customer,48,Personal Travel,Eco,457,0,2,0,4,5,4,4,4,4,0,4,4,4,3,0,0
satisfied,Male,Loyal Customer,54,Personal Travel,Eco,1200,0,2,0,4,4,0,4,4,4,1,3,4,4,4,0,0
satisfied,Male,Loyal Customer,68,Personal Travel,Eco,1732,0,2,0,4,4,0,4,4,3,2,3,2,3,4,0,0
satisfied,Female,Loyal Customer,63,Personal Travel,Business,296,0,2,0,4,1,4,3,1,1,0,1,3,1,1,0,0
satisfied,Female,Loyal Customer,28,Personal Travel,Eco,2096,0,2,0,4,4,0,4,4,3,1,4,3,3,4,1,0
satisfied,Female,Loyal Customer,63,Personal Travel,Eco,231,0,2,0,4,2,4,3,4,4,0,5,4,4,2,0,0
satisfied,Female,Loyal Customer,26,Personal Travel,Eco,1636,0,2,0,4,5,0,5,5,2,5,3,4,3,5,0,0
satisfied,Female,Loyal Customer,11,Personal Travel,Eco Plus,1394,0,2,0,4,3,0,3,3,2,1,3,2,4,3,0,0
satisfied,Female,Loyal Customer,16,Personal Travel,Eco,1399,0,2,0,4,5,0,5,5,2,1,3,1,3,5,0,0
satisfied,Male,Loyal Customer,49,Personal Travel,Eco,1282,0,2,0,4,2,0,2,2,1,2,4,2,4,2,0,0
satisfied,Male,Loyal Customer,17,Personal Travel,Eco,2008,0,2,0,4,2,0,2,2,4,4,3,1,4,2,0,0
satisfied,Female,Loyal Customer,62,Personal Travel,Eco,832,0,2,1,2,1,2,3,2,2,1,2,4,2,3,0,0
satisfied,Female,Loyal Customer,18,Personal Travel,Eco,2441,0,2,1,4,1,1,1,1,2,2,2,2,3,1,13,4
satisfied,Male,Loyal Customer,24,Personal Travel,Eco,3219,0,3,0,1,3,0,3,3,4,2,5,5,5,3,93,86
satisfied,Male,Loyal Customer,12,Personal Travel,Eco,2794,0,3,0,1,3,0,3,3,3,2,4,2,2,3,14,1
satisfied,Female,Loyal Customer,39,Personal Travel,Eco,2274,0,3,0,1,2,0,1,2,5,2,1,2,2,2,0,0
satisfied,Male,Loyal Customer,46,Personal Travel,Eco,2179,0,3,0,1,5,0,3,5,1,5,1,3,2,5,0,0
satisfied,Male,Loyal Customer,55,Personal Travel,Eco,1656,0,3,0,1,4,0,4,4,3,1,3,3,3,4,0,0
satisfied,Female,Loyal Customer,18,Personal Travel,Eco,2411,0,3,0,1,3,0,5,3,2,3,4,2,1,3,0,0
satisfied,Male,Loyal Customer,7,Personal Travel,Eco,1817,0,3,0,1,1,0,1,1,1,2,2,1,3,1,1,5
satisfied,Male,Loyal Customer,13,Personal Travel,Eco,1644,0,3,0,1,2,0,2,2,2,1,3,5,1,2,0,0
satisfied,Male,Loyal Customer,62,Personal Travel,Eco,1595,0,3,0,1,1,0,1,1,1,3,5,5,2,1,0,0
satisfied,Female,Loyal Customer,49,Personal Travel,Eco,427,0,3,0,1,2,4,3,1,1,0,1,2,1,3,0,0
satisfied,Female,Loyal Customer,36,Personal Travel,Eco,1713,0,3,0,1,1,0,4,1,2,5,1,3,4,1,0,0
satisfied,Male,Loyal Customer,44,Personal Travel,Eco Plus,2680,0,3,0,2,1,0,1,1,5,5,1,2,1,1,7,0
satisfied,Female,Loyal Customer,27,Personal Travel,Eco,2743,0,3,0,2,4,0,4,4,1,2,2,4,3,4,0,2
satisfied,Female,Loyal Customer,9,Personal Travel,Eco,1900,0,3,0,2,4,0,4,4,2,1,3,1,3,4,0,0
satisfied,Male,Loyal Customer,51,Personal Travel,Eco,2719,0,3,0,2,3,0,3,3,3,3,2,2,2,3,29,13
satisfied,Female,Loyal Customer,27,Personal Travel,Eco,1866,0,3,0,2,2,0,2,2,3,3,3,2,3,2,0,0
satisfied,Female,Loyal Customer,47,Personal Travel,Eco,706,0,3,0,2,2,3,5,2,2,0,2,1,2,4,0,0
satisfied,Female,Loyal Customer,48,Personal Travel,Eco,538,0,3,0,2,3,2,2,5,5,0,5,1,5,3,66,57
satisfied,Male,Loyal Customer,15,Personal Travel,Business,1583,0,3,0,2,2,0,2,2,4,4,2,4,3,2,0,0
satisfied,Female,Loyal Customer,7,Personal Travel,Eco,1890,0,3,0,2,1,0,1,1,2,2,5,1,2,1,0,0
satisfied,Male,Loyal Customer,62,Personal Travel,Eco,1008,0,3,0,2,3,0,3,3,1,4,4,2,1,3,0,2
satisfied,Female,Loyal Customer,42,Personal Travel,Eco,2768,0,3,0,3,5,5,5,5,5,0,5,3,5,3,0,0
satisfied,Female,Loyal Customer,64,Personal Travel,Eco,2573,0,3,0,3,4,3,4,2,2,0,2,2,2,3,0,0
satisfied,Male,Loyal Customer,53,Personal Travel,Business,2522,0,3,0,3,2,4,4,3,3,3,3,3,3,1,0,3
satisfied,Female,Loyal Customer,42,Personal Travel,Business,1794,0,3,0,3,5,3,4,4,4,0,4,3,4,3,10,0
satisfied,Female,Loyal Customer,22,Personal Travel,Eco,2676,0,3,0,3,3,0,3,3,2,3,1,3,1,3,12,5
satisfied,Male,Loyal Customer,19,Personal Travel,Eco,3109,0,3,0,3,4,0,4,4,2,2,4,3,4,4,0,0
satisfied,Male,Loyal Customer,28,Personal Travel,Eco Plus,2035,0,3,0,3,1,0,4,1,2,1,3,3,3,1,7,0
satisfied,Female,Loyal Customer,61,Personal Travel,Eco,1076,0,3,0,3,2,3,2,4,4,0,4,4,4,5,0,3
satisfied,Female,Loyal Customer,62,Personal Travel,Eco,953,0,3,0,3,1,2,1,3,3,0,3,4,3,3,0,0
satisfied,Male,Loyal Customer,23,Personal Travel,Eco,2858,0,3,0,3,5,0,5,5,3,3,4,4,3,5,0,14
satisfied,Male,Loyal Customer,34,Personal Travel,Eco,2139,0,3,0,3,1,0,1,1,1,3,3,1,4,1,0,0
satisfied,Male,Loyal Customer,19,Personal Travel,Eco,2493,0,3,0,3,4,0,4,4,4,1,2,1,3,4,3,3
satisfied,Male,Loyal Customer,67,Personal Travel,Eco,2041,0,3,0,3,5,0,5,5,3,1,5,4,1,5,0,0
satisfied,Female,Loyal Customer,63,Personal Travel,Eco,858,0,3,0,3,4,2,3,1,1,0,1,3,1,2,0,0
satisfied,Female,Loyal Customer,29,Personal Travel,Eco,2383,0,3,0,3,5,0,5,5,3,2,3,3,3,5,0,0
satisfied,Female,Loyal Customer,51,Personal Travel,Eco,748,0,3,0,3,3,4,5,2,2,0,2,2,2,2,0,0
satisfied,Male,Loyal Customer,22,Personal Travel,Eco,1421,0,3,0,3,2,3,2,2,5,4,5,2,4,2,0,9
satisfied,Female,Loyal Customer,9,Personal Travel,Eco,2037,0,3,0,3,3,0,3,3,3,4,3,2,3,3,0,1
